Frame,Method,Sharpness,Contrast
1,original,6543.518702565259,27.116209820860192
1,median,129.98945948708774,17.21163149059216
1,gaussian,70.16184077619722,17.34081145459544
1,median_contrast,145.1856345913904,19.642524052276848
1,median_hist_eq,3104.266600709972,74.13792454802355
1,gaussian_contrast,88.98615275715626,19.818895336175054
1,gaussian_hist_eq,1830.4975881002626,74.14869334546032
1,median_contrast_sharpened,83.22571428865662,19.894845374795025
1,median_hist_eq_sharpened,645.5485448619147,74.37713366917488
1,gaussian_contrast_sharpened,123.36587428941138,20.381518167883378
1,gaussian_hist_eq_sharpened,1367.4362292397993,75.55856589262213
2,original,2565.4179497907403,24.22745570205816
2,median,72.75834009899097,17.518347690894664
2,gaussian,65.17506449334257,18.04864133992688
2,median_contrast,85.43735553370618,20.481041002108647
2,median_hist_eq,1607.3705686258259,74.14336464404101
2,gaussian_contrast,84.02229557791756,20.74258754200492
2,gaussian_hist_eq,1528.531269546696,74.17817068956248
2,median_contrast_sharpened,75.2655221470067,20.79678063790938
2,median_hist_eq_sharpened,491.2387217948132,74.78919756576902
2,gaussian_contrast_sharpened,122.95674479216675,21.30702176838107
2,gaussian_hist_eq_sharpened,1184.056001869612,75.54714295611186
3,original,2522.212027951204,24.641179180796662
3,median,74.82016922417894,17.862682613388174
3,gaussian,68.04184820237425,18.408590226990054
3,median_contrast,83.9947792679463,20.13567612299501
3,median_hist_eq,1462.3854200759583,74.31358908449836
3,gaussian_contrast,87.65179140389105,21.15079966755696
3,gaussian_hist_eq,1476.6081285911002,74.36182651504548
3,median_contrast_sharpened,74.35391565477254,20.451444021927234
3,median_hist_eq_sharpened,451.59687631651735,74.89353538676271
3,gaussian_contrast_sharpened,126.33054295410896,21.745458185145647
3,gaussian_hist_eq_sharpened,1110.1187981073322,75.62424964459265
4,original,2667.3993226040766,24.814360579206134
4,median,82.02421362351723,17.540675253780456
4,gaussian,72.7177969193606,18.16433560595244
4,median_contrast,93.39998030972797,20.03452565208057
4,median_hist_eq,1719.2613167218574,74.33753344448425
4,gaussian_contrast,90.50088580730916,20.487149424422025
4,gaussian_hist_eq,1704.2716189828745,74.37581584805503
4,median_contrast_sharpened,77.21111668825525,20.38011452118154
4,median_hist_eq_sharpened,513.5637951033891,74.99130444352633
4,gaussian_contrast_sharpened,129.01412689473796,21.12048947626266
4,gaussian_hist_eq_sharpened,1240.4068028122906,75.72709916493567
5,original,2539.03750417396,24.87836197083967
