Frame,Method,Sharpness,Contrast
1,original,905.0192886691161,47.853814855753384
1,median,55.438098121859845,47.10502349806135
1,gaussian,28.949614126814595,46.70381380868318
1,median_contrast,79.12471341524696,59.47923248644822
1,median_hist_eq,224.20135327712637,73.78259150621675
1,gaussian_contrast,46.75190693566371,59.84810396125024
1,gaussian_hist_eq,189.06412150961245,73.75957733611905
1,median_contrast_sharpened,61.33280492204352,59.64614872793552
1,median_hist_eq_sharpened,95.11346673639233,73.95071385962008
1,gaussian_contrast_sharpened,79.78048178664274,60.07652491688157
1,gaussian_hist_eq_sharpened,149.92609365234347,74.00154644725974
2,original,623.0583838520392,46.813542212476804
2,median,45.10722010087436,46.119371046371185
2,gaussian,28.764499100253804,45.781266711441596
2,median_contrast,64.9037032252146,58.504311963531975
2,median_hist_eq,196.2862466516928,73.7391073820099
2,gaussian_contrast,47.45613332844821,59.253344900422746
2,gaussian_hist_eq,194.68231139196533,73.73708119874006
2,median_contrast_sharpened,60.93139736636278,58.674546945741255
2,median_hist_eq_sharpened,95.69196487509676,73.92023384058595
2,gaussian_contrast_sharpened,81.087323322776,59.48626916549092
2,gaussian_hist_eq_sharpened,153.28574910564345,73.985855902746
3,original,535.4836874025431,46.019568703707904
3,median,42.5697947663219,45.352131796310054
3,gaussian,25.992665795475922,45.08657276463507
3,median_contrast,61.9309355134703,58.11610664864506
3,median_hist_eq,191.19988373334806,73.73515805290586
3,gaussian_contrast,42.28976940117033,58.04827890481814
3,gaussian_hist_eq,175.311376679792,73.79968141711184
3,median_contrast_sharpened,59.59112054410896,58.28535847459353
3,median_hist_eq_sharpened,94.31928343986965,73.9194891686872
3,gaussian_contrast_sharpened,75.66345771835415,58.27581406531172
3,gaussian_hist_eq_sharpened,147.0519988082675,74.05833563075372
4,original,414.8166509034558,45.39953467477116
4,median,34.92314138175725,44.82737140259078
4,gaussian,21.861682012732917,44.622468198336804
4,median_contrast,46.50574576291956,55.21519910597454
4,median_hist_eq,171.66963958590574,73.70138577468211
4,gaussian_contrast,33.103746010624654,55.49432768674597
4,gaussian_hist_eq,153.92454292495646,73.6916203990169
4,median_contrast_sharpened,54.21644565135708,55.366497756207835
4,median_hist_eq_sharpened,89.30373573052405,73.88547835631087
4,gaussian_contrast_sharpened,66.1616071834199,55.69276049684768
4,gaussian_hist_eq_sharpened,135.11769889500403,73.95063115631454
5,original,410.8583207238878,44.87871434980781
